Date,Open,High,Low,Close,Adj Close,Volume
2016-11-14,70.099579,71.012871,69.531105,69.726807,54.740868,14931445
2016-11-15,69.726807,71.739769,69.885239,71.655899,56.255360,19841491
2016-11-16,71.655899,72.914001,71.311089,71.963432,56.496792,14958037
2016-11-17,71.963432,72.904678,71.478828,72.317566,56.774822,18122760
2016-11-18,72.317566,72.951279,71.385635,72.755569,57.118675,13047538
2016-11-21,72.755569,74.078911,71.972755,73.911163,58.025913,4337914
2016-11-22,73.911163,73.976395,72.690338,73.454521,57.667408,11304739
2016-11-23,73.454521,73.435883,72.224373,73.063110,57.360119,8945637
2016-11-24,73.063110,73.081749,72.317566,72.550552,56.957729,6541897
2016-11-25,72.550552,73.575668,72.224373,73.445198,57.660095,12080949
2016-11-28,73.445198,73.575668,71.758408,71.805008,56.372421,10855472
2016-11-29,71.758408,73.137665,71.301765,71.478828,56.116341,12307586
2016-11-30,71.478828,71.758408,70.360519,71.134018,55.845642,12113044
2016-12-01,71.134018,71.758408,70.360519,71.003548,55.743217,12819998
2016-12-02,71.003548,71.385635,70.379158,71.031509,55.765167,5201232
2016-12-05,71.031509,73.063110,70.826485,71.954117,56.489475,15870497
2016-12-06,71.954117,71.944794,70.826485,70.901039,55.662731,22515261
2016-12-07,70.901039,71.758408,70.416435,70.807846,55.589561,35389125
2016-12-09,70.807846,71.944794,70.649414,71.590668,56.204144,14135003
2016-12-12,71.590668,71.963432,70.928993,71.367004,56.028553,10533236
2016-12-13,70.826485,73.612946,70.826485,73.407921,57.630825,13966605
2016-12-14,73.407921,73.603630,72.597145,72.904678,57.235741,69817604
2016-12-15,72.904678,73.100388,72.503952,72.727615,57.096733,7183164
2016-12-16,72.727615,73.258812,71.786369,72.774208,57.133308,22050664
2016-12-19,72.774208,73.435883,71.944794,72.270973,56.738235,11023592
2016-12-20,72.270973,73.417244,71.944794,73.268135,57.521080,13749320
2016-12-21,73.268135,73.268135,71.786369,71.916840,56.460213,13814233
2016-12-22,71.916840,72.643738,71.758408,71.832962,56.394367,10932863
2016-12-23,71.832962,72.503952,71.339043,71.749092,56.328518,5180370
2016-12-26,71.758408,72.140503,71.292450,71.525429,56.152931,8391738
2016-12-27,71.525429,71.963432,71.012871,71.339043,56.006596,14235394
2016-12-28,71.339043,72.690338,71.283127,72.289612,56.752869,12304758
2016-12-29,72.289612,73.529076,72.270973,73.202896,57.469864,31260755
2016-12-30,73.202896,73.622269,72.597145,73.156303,57.433285,5310608
2017-01-03,73.156303,74.041634,72.811485,73.156303,57.433285,6709886
2017-01-04,73.156303,73.473160,72.876724,73.193581,57.462547,8950087
2017-01-05,73.193581,73.808655,72.494637,72.746254,57.111366,12491175
2017-01-06,72.746254,73.612946,72.690338,73.137665,57.418659,6376321
2017-01-09,73.137665,73.547714,72.783531,73.417244,57.638149,8046567
2017-01-10,73.417244,73.529076,72.802170,73.053787,57.352806,8672271
2017-01-11,73.053787,73.808655,72.783531,73.762054,57.908852,21288336
2017-01-12,73.762054,73.901840,72.858086,73.100388,57.389393,13590568
